更新时间: 2026-04-16 16:57:29（北京时间）

更新时间,#genre#
2026-04-16 16:57:29,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
吉林卫视,http://221.219.75.32:4000/rtp/239.3.1.240:8172$北京市联通
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
内蒙古卫视,http://180.173.121.65:9999/rtp/233.18.204.217:5140$上海市电信
内蒙古卫视,http://221.219.75.32:4000/rtp/239.3.1.43:8176$北京市联通
宁夏卫视,http://180.173.121.65:9999/rtp/233.18.204.230:5140$上海市电信
宁夏卫视,http://221.219.75.32:4000/rtp/239.3.1.169:8212$北京市联通
山西卫视,http://60.220.163.54:4022/rtp/226.0.2.11:8000$山西联通
山西卫视,http://60.220.163.54:4022/rtp/226.0.2.152:9128$山西联通
山西卫视,http://180.173.121.65:9999/rtp/233.18.204.211:5140$上海市电信
山西卫视,http://221.219.75.32:4000/rtp/239.3.1.42:8172$北京市联通
陕西卫视,http://180.173.121.65:9999/rtp/233.18.204.223:5140$上海市电信
陕西卫视,http://221.219.75.32:4000/rtp/239.3.1.41:8140$北京市联通
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830$河南电信
甘肃卫视,http://180.173.121.65:9999/rtp/233.18.204.110:5140$上海市电信
甘肃卫视,http://221.219.75.32:4000/rtp/239.3.1.201:8180$北京市联通
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020$河南电信
甘肃卫视,http://27.8.51.243:4022/rtp/225.0.4.181:7980$重庆市联通
青海卫视,http://180.173.121.65:9999/rtp/233.18.204.112:5140$上海市电信
青海卫视,http://221.219.75.32:4000/rtp/239.3.1.44:8184$北京市联通
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010$河南电信
新疆卫视,http://60.220.163.54:4022/rtp/226.0.2.67:8448$山西联通
新疆卫视,http://180.173.121.65:9999/rtp/233.18.204.220:5140$上海市电信
新疆卫视,http://221.219.75.32:4000/rtp/239.3.1.167:8192$北京市联通
新疆卫视,http://27.8.51.243:4022/rtp/225.0.4.60:7980$重庆市联通
西藏卫视,http://60.220.163.54:4022/rtp/226.0.2.66:8440$山西联通
西藏卫视,http://180.173.121.65:9999/rtp/233.18.204.222:5140$上海市电信
西藏卫视,http://221.219.75.32:4000/rtp/239.3.1.166:8188$北京市联通
西藏卫视,http://27.8.51.243:4022/rtp/225.0.4.67:7980$重庆市联通
三沙卫视,http://180.173.121.65:9999/rtp/233.18.204.172:5140$上海市电信
三沙卫视,http://221.219.75.32:4000/rtp/239.3.1.155:4120$北京市联通
兵团卫视,http://180.173.121.65:9999/rtp/233.18.204.221:5140$上海市电信
兵团卫视,http://221.219.75.32:4000/rtp/239.3.1.168:8196$北京市联通
兵团卫视,http://27.8.51.243:4022/rtp/225.0.4.72:7980$重庆市联通
山东教育卫视,http://60.220.163.54:4022/rtp/226.0.2.130:8952$山西联通
山东教育卫视,http://221.219.75.32:4000/rtp/239.3.1.52:4120$北京市联通
